id,short_name,overall,potential,value_eur,wage_eur,height_cm,weight_kg,club_name,league_level,club_jersey_number,club_contract_valid_until,nationality_name,weak_foot,skill_moves,international_reputation,release_clause_eur,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_speed,position,position_grouped,league_country,height_weight_ratio,age,preferred_foot_Left,preferred_foot_Right,real_face_No,real_face_Yes,work_rate_High/High,work_rate_High/Low,work_rate_High/Medium,work_rate_Low/High,work_rate_Low/Low,work_rate_Low/Medium,work_rate_Medium/High,work_rate_Medium/Low,work_rate_Medium/Medium
199912,S. Kittel,73,73,3100000.0,14000,179,76,Hamburger SV,2,10,2023,Germany,5,4,1,5000000.0,82.0,70.0,73.0,75.0,32.0,56.0,74,68,43,73,64,75,76,75,72,75,78,86,85,67,82,76,72,71,53,73,39,37,64,73,60,61,38,24,20,,LW,A_LW,Germany,2.3552631578947367,28,False,True,True,False,False,True,False,False,False,False,False,False,False
198688,F. Pogba,68,68,1000000.0,3000,192,93,FC Sochaux-Montbéliard,2,19,2023,Guinea,3,2,1,1800000.0,61.0,41.0,58.0,56.0,67.0,80.0,64,21,66,63,45,53,60,61,61,57,55,65,66,58,51,68,75,71,87,59,76,66,36,42,38,68,67,66,68,,LCB,D_LCB,France,2.064516129032258,31,True,False,True,False,False,False,False,False,False,False,False,False,True
215071,M. Casco,77,77,5500000.0,17000,170,69,River Plate,1,20,2023,Argentina,5,3,1,7700000.0,83.0,67.0,72.0,80.0,70.0,78.0,76,60,65,73,65,78,79,55,67,81,84,83,83,75,81,79,75,84,73,71,84,70,76,74,64,80,69,71,73,,RB,D_RB,Argentina,2.463768115942029,33,False,True,True,False,False,False,True,False,False,False,False,False,False
138949,A. Alcáraz,71,71,325000.0,600,187,78,Club Olimpia,1,21,2021,Paraguay,3,2,1,715000.0,35.0,43.0,48.0,61.0,70.0,72.0,47,38,74,67,35,60,32,35,20,63,39,31,50,71,58,54,72,53,82,42,72,70,56,44,48,80,63,74,73,,LCB,D_LCB,Paraguay,2.3974358974358974,39,False,True,True,False,False,False,False,False,False,False,False,False,True
216751,D. Bejarano,71,71,1600000.0,800,174,70,Club Bolívar,1,8,2022,Bolivia,2,2,1,3400000.0,66.0,38.0,61.0,62.0,68.0,58.0,77,48,58,67,31,57,55,29,64,69,70,63,54,65,76,24,60,77,48,29,57,65,44,44,39,57,67,75,70,,RB,D_RB,Bolivia,2.4857142857142858,30,False,True,True,False,False,False,True,False,False,False,False,False,False
260383,V. Lunddal,56,68,325000.0,500,191,82,BK Häcken,1,12,2024,Iceland,3,2,1,471000.0,63.0,31.0,42.0,48.0,54.0,63.0,40,29,52,48,27,48,27,29,42,46,64,62,59,53,48,36,63,62,67,28,54,56,41,38,39,37,48,59,56,,LB,D_LB,Sweden,2.3292682926829267,19,False,True,True,False,False,False,False,False,False,False,False,False,True
253735,Antoñín,68,78,2700000.0,8000,182,71,Málaga CF,2,15,2022,Spain,3,3,1,,80.0,67.0,56.0,69.0,23.0,56.0,57,70,63,64,67,72,42,40,54,67,79,81,76,65,65,66,65,55,59,59,47,17,69,52,64,53,16,23,15,,LS,A_LS,Spain,2.563380281690141,21,False,True,True,False,False,False,False,False,False,False,False,False,True
234833,F. Müller,77,82,13000000.0,18000,190,88,VfB Stuttgart,1,1,2025,Germany,4,1,1,24400000.0,,,,,,,12,11,11,32,10,18,13,12,28,24,43,43,42,75,41,54,58,34,67,12,25,19,11,42,19,38,20,11,12,43.0,GK,G_GK,Germany,2.159090909090909,23,True,False,False,True,False,False,False,False,False,False,False,False,True
204761,G. Hall,69,69,1200000.0,13000,191,71,Middlesbrough,2,4,2023,England,3,2,1,2300000.0,61.0,39.0,48.0,46.0,69.0,70.0,27,37,71,64,31,32,30,31,52,57,60,62,55,69,44,43,82,59,77,42,63,73,38,45,45,59,69,64,69,,RCB,D_RCB,England,2.6901408450704225,29,False,True,True,False,False,False,False,False,False,False,False,False,True
210739,C. Nielsen,69,70,1600000.0,8000,182,76,Royale Union Saint-Gilloise,1,6,2024,Denmark,3,3,1,2400000.0,73.0,65.0,70.0,70.0,61.0,70.0,66,63,55,72,62,69,66,71,71,71,74,73,74,66,72,69,65,80,66,68,70,63,67,69,55,71,62,61,56,,CDM,M_CDM,Belgium,2.3947368421052633,27,False,True,True,False,False,False,False,False,False,False,False,False,True
176849,P. Gibaud,67,67,475000.0,3000,184,69,Le Havre AC,2,27,2022,France,2,2,1,831000.0,61.0,45.0,57.0,59.0,66.0,75.0,68,36,67,60,44,50,59,31,57,66,62,60,66,61,69,59,81,74,78,54,66,62,46,46,43,65,67,67,70,,LCB,D_LCB,France,2.6666666666666665,33,False,True,True,False,False,False,False,False,False,False,True,False,False
246870,E. Díaz,73,78,4200000.0,11000,175,74,Club Atlético Talleres,1,15,2022,Argentina,2,2,1,6600000.0,71.0,48.0,68.0,71.0,71.0,74.0,69,38,63,71,49,71,49,36,67,70,69,73,73,71,72,63,69,77,71,52,79,69,71,73,47,73,69,77,73,,LB,D_LB,Argentina,2.364864864864865,25,True,False,True,False,False,False,False,False,False,False,False,False,True
210520,Edgar Ié,73,74,3100000.0,19000,182,68,Trabzonspor,1,32,2022,Portugal,3,2,1,6400000.0,79.0,44.0,60.0,67.0,74.0,76.0,65,31,70,68,37,66,49,59,62,65,78,79,72,69,71,66,89,77,76,54,73,75,34,40,48,69,70,77,74,,RCB,D_RCB,Turkey,2.676470588235294,27,False,True,True,False,False,False,True,False,False,False,False,False,False
224690,Li Ang,66,66,800000.0,6000,188,88,Shanghai Port FC,1,2,2022,China PR,3,2,1,1200000.0,59.0,60.0,64.0,59.0,64.0,78.0,57,54,63,66,57,57,75,83,67,59,59,59,59,62,75,72,85,75,84,63,64,64,56,56,58,60,65,64,64,,RCB,D_RCB,China,2.1363636363636362,28,True,False,True,False,False,False,True,False,False,False,False,False,False
233945,Wu Wei,56,60,190000.0,2000,182,72,Dalian Professional Football Club,1,5,2022,China PR,3,2,1,309000.0,63.0,47.0,49.0,54.0,53.0,67.0,45,41,42,57,40,52,31,36,45,55,63,63,62,50,59,60,73,72,70,52,53,55,44,50,40,48,55,55,51,,RCM,M_RCM,China,2.5277777777777777,24,False,True,True,False,False,False,False,False,False,False,False,False,True
224793,B. Wembangomo,64,69,825000.0,950,181,75,Sandefjord Fotball,1,2,2021,Norway,3,3,1,1100000.0,82.0,44.0,53.0,64.0,58.0,64.0,58,45,48,57,38,64,55,40,46,63,81,83,74,58,75,45,73,75,58,42,63,59,52,50,40,49,56,61,58,,RB,D_RB,Norway,2.4133333333333336,24,False,True,True,False,False,False,False,False,False,False,False,False,True
235101,T. Makowski,66,72,1300000.0,2000,181,76,Lechia Gdańsk,1,36,2022,Poland,3,2,1,2000000.0,70.0,53.0,58.0,63.0,61.0,72.0,44,55,57,66,31,59,55,37,63,66,69,70,72,60,75,54,71,81,68,56,69,65,56,61,45,59,55,66,60,,CDM,M_CDM,Poland,2.3815789473684212,22,False,True,True,False,False,False,False,False,False,False,True,False,False
239316,Foguinho,65,65,600000.0,2000,180,75,Vegalta Sendai,1,35,2022,Brazil,3,3,1,750000.0,63.0,49.0,60.0,67.0,56.0,72.0,50,41,59,73,45,67,42,40,68,71,65,62,64,68,63,62,59,80,74,56,62,53,52,51,46,58,58,54,60,,LCM,M_LCM,Japan,2.4,29,False,True,True,False,False,False,False,False,False,False,False,False,True
198328,David Mateos,67,67,325000.0,500,191,82,Club The Strongest,1,44,2021,Spain,3,2,1,699000.0,41.0,54.0,55.0,42.0,67.0,70.0,34,63,67,65,26,31,37,75,64,55,52,32,31,52,65,70,34,34,90,39,76,67,24,51,34,59,70,66,63,,RCB,D_RCB,Bolivia,2.3292682926829267,34,False,True,True,False,False,False,False,False,False,False,False,False,True
224494,R. Henry,74,79,6000000.0,31000,170,66,Brentford,1,3,2023,England,2,3,1,12500000.0,91.0,40.0,60.0,73.0,67.0,70.0,67,40,37,67,33,69,48,39,50,72,92,91,89,71,90,43,92,80,61,34,76,72,65,54,43,64,68,72,68,,LWB,D_LWB,England,2.5757575757575757,24,True,False,True,False,False,False,True,False,False,False,False,False,False
223223,K. Vandendriessche,69,69,1100000.0,8000,183,74,KV Kortrijk,1,26,2023,France,5,2,1,1600000.0,53.0,68.0,67.0,63.0,71.0,83.0,67,64,70,68,66,60,70,68,67,66,52,53,56,69,63,79,70,91,82,72,77,72,71,66,52,72,71,71,69,,RDM,M_RDM,Belgium,2.472972972972973,32,False,True,True,False,True,False,False,False,False,False,False,False,False
223679,T. Rieder,65,66,725000.0,2000,186,77,Türkgücü München,3,17,2026,Germany,3,2,1,1100000.0,63.0,33.0,52.0,53.0,64.0,75.0,47,27,56,66,38,39,31,38,53,65,62,63,61,64,66,46,79,77,75,30,70,65,29,39,48,59,64,67,65,,RCM,M_RCM,Germany,2.4155844155844157,28,False,True,True,False,False,False,False,False,False,False,False,False,True
236239,A. Whiteman,64,75,1100000.0,10000,189,84,Degerfors IF,1,1,2021,England,2,1,1,,,,,,,,14,9,14,27,8,12,12,10,25,23,34,28,31,52,41,44,65,26,48,9,25,12,4,39,11,42,21,13,14,32.0,GK,G_GK,Sweden,2.25,22,False,True,False,True,False,False,False,False,False,False,False,False,True
230475,Adilson Edrada,76,76,7500000.0,27000,176,72,Santos,1,24,2024,Brazil,3,3,1,14300000.0,77.0,71.0,70.0,80.0,32.0,55.0,63,73,56,76,68,87,61,66,58,75,74,80,79,66,75,61,73,52,60,73,43,38,76,77,76,67,16,32,44,,CAM,M_CAM,Brazil,2.4444444444444446,29,False,True,True,False,False,False,False,False,False,False,False,True,False
224970,J. Dompé,70,71,1900000.0,8000,170,65,SV Zulte Waregem,1,17,2023,France,2,3,1,3000000.0,73.0,69.0,70.0,73.0,41.0,55.0,78,63,41,66,73,73,80,75,63,70,75,72,84,64,86,79,81,59,50,76,57,39,67,68,57,73,31,49,47,,LWB,D_LWB,Belgium,2.6153846153846154,26,False,True,True,False,False,False,False,False,False,False,False,True,False
215990,Ó. Benítez,65,65,575000.0,4000,186,72,Patronato,1,3,2022,Argentina,2,2,1,834000.0,51.0,33.0,41.0,36.0,66.0,74.0,27,22,67,50,28,24,55,60,42,42,49,52,37,60,54,60,70,65,82,31,64,63,24,29,37,57,68,67,66,,LCB,D_LCB,Argentina,2.5833333333333335,30,True,False,True,False,False,False,False,False,False,True,False,False,False
212888,C. Salcedo,73,75,3200000.0,31000,188,77,Tigres U.A.N.L.,1,3,2022,Mexico,3,2,1,5400000.0,58.0,31.0,51.0,60.0,72.0,80.0,28,31,73,69,25,57,25,22,65,68,55,60,54,65,53,42,78,75,82,18,82,71,30,45,36,60,71,72,71,,LCB,D_LCB,Mexico,2.4415584415584415,27,False,True,False,True,False,False,False,True,False,False,False,False,False
202977,Lee Jong Sung,62,62,400000.0,1000,187,75,Seongnam FC,1,16,2021,Korea Republic,3,2,1,,45.0,55.0,58.0,59.0,60.0,74.0,41,46,63,62,48,59,45,53,69,60,53,38,58,56,60,70,54,75,75,65,73,60,55,65,50,57,57,62,60,,RCM,M_RCM,South Korea,2.493333333333333,29,False,True,True,False,False,False,False,False,False,False,False,False,True
234264,Jeong Seung Won,67,72,1500000.0,3000,170,68,Daegu FC,1,18,2022,Korea Republic,3,3,1,2000000.0,80.0,55.0,60.0,66.0,49.0,68.0,65,56,52,62,46,66,39,41,56,64,82,78,78,62,63,55,84,84,63,54,54,43,65,62,45,54,50,51,45,,RM,M_RM,South Korea,2.5,24,False,True,True,False,True,False,False,False,False,False,False,False,False
184843,B. Tozer,66,66,575000.0,500,185,81,Wrexham AFC,5,6,2024,England,3,2,1,1200000.0,48.0,51.0,53.0,50.0,64.0,86.0,57,43,63,58,53,44,43,25,64,51,49,48,52,63,68,68,74,90,89,54,76,63,43,40,58,60,66,64,63,,CB,D_CB,England,2.2839506172839505,31,False,True,True,False,False,False,False,False,False,False,True,False,False
215245,A. Hunou,73,74,3600000.0,8000,179,70,Minnesota United FC,1,23,2023,France,3,3,1,5700000.0,74.0,72.0,66.0,72.0,48.0,71.0,65,74,68,71,72,70,68,62,61,72,75,74,74,78,73,70,69,76,69,67,69,45,82,64,71,75,44,48,46,,ST,A_ST,USA,2.557142857142857,27,False,True,True,False,False,False,True,False,False,False,False,False,False
211365,E. Hestad,71,72,2200000.0,5000,183,75,Molde FK,1,19,2021,Norway,3,4,1,3000000.0,75.0,64.0,68.0,73.0,53.0,68.0,67,64,48,68,61,73,68,61,67,71,78,73,81,68,73,68,55,77,67,64,60,53,69,71,52,71,53,54,51,,RM,M_RM,Norway,2.44,26,True,False,True,False,False,False,False,False,False,False,False,False,True
251832,H. Vergara,54,63,240000.0,500,184,78,Deportivo Pasto,1,32,2022,Colombia,3,2,1,372000.0,64.0,53.0,37.0,49.0,18.0,60.0,29,57,50,44,46,46,35,28,31,47,66,63,62,56,61,54,63,70,69,45,25,17,54,41,51,47,14,14,13,,LB,D_LB,Colombia,2.358974358974359,22,False,True,True,False,False,False,False,False,False,False,False,False,True
257080,M. Mustapha,61,72,725000.0,3000,183,82,FC Flyeralarm Admira,1,9,2022,Austria,3,2,1,,62.0,63.0,43.0,57.0,24.0,71.0,32,67,68,46,42,56,40,35,45,57,63,61,60,56,65,64,76,55,80,60,66,16,52,48,57,50,19,22,21,,LS,A_LS,Austria,2.231707317073171,20,False,True,True,False,False,False,True,False,False,False,False,False,False
239783,G. Garner,61,69,750000.0,2000,180,73,Fleetwood Town,3,19,2023,England,3,2,1,1500000.0,70.0,60.0,46.0,60.0,22.0,58.0,36,61,58,55,55,59,41,39,35,60,71,69,66,58,73,63,57,54,67,57,41,16,61,49,55,48,18,20,16,,ST,A_ST,England,2.4657534246575343,22,False,True,True,False,False,False,False,False,False,False,False,False,True
194415,A. Quintero,72,72,1500000.0,950,165,62,Club Universitario de Deportes,1,19,2022,Panama,3,3,1,3200000.0,80.0,65.0,64.0,75.0,20.0,61.0,68,68,42,71,54,75,46,54,56,74,81,80,81,64,77,70,67,70,55,62,61,23,67,63,44,69,17,14,16,,RS,A_RS,Peru,2.661290322580645,33,False,True,True,False,False,True,False,False,False,False,False,False,False
234350,Viti Rozada,67,73,1600000.0,3000,170,64,Real Oviedo,2,7,2022,Spain,3,3,1,2900000.0,85.0,60.0,59.0,67.0,45.0,59.0,62,61,43,62,48,65,54,41,58,63,82,88,82,64,83,63,34,72,52,60,68,49,65,58,53,60,41,45,47,,RM,M_RM,Spain,2.65625,23,False,True,True,False,True,False,False,False,False,False,False,False,False
159145,B. Gomis,79,79,7500000.0,38000,186,86,Al Hilal,1,18,2022,France,4,3,3,12800000.0,60.0,81.0,68.0,72.0,36.0,74.0,64,82,84,75,83,72,61,62,54,80,55,64,52,80,47,84,76,75,83,72,52,38,82,73,83,81,22,32,35,,LS,A_LS,Saudi Arabia,2.1627906976744184,36,False,True,False,True,False,True,False,False,False,False,False,False,False
193738,Y. Belhanda,74,74,3500000.0,17000,179,75,Adana Demirspor,1,10,2024,Morocco,4,4,2,7000000.0,72.0,71.0,77.0,78.0,59.0,69.0,77,70,67,77,69,79,78,75,76,80,73,72,74,69,78,73,79,74,63,69,75,60,71,79,80,72,55,59,58,,CAM,M_CAM,Turkey,2.3866666666666667,31,False,True,True,False,False,False,False,False,False,False,False,False,True
215441,S. Guirassy,77,81,15000000.0,46000,187,82,Stade Rennais FC,1,9,2025,France,3,3,2,29600000.0,71.0,77.0,66.0,75.0,38.0,76.0,56,80,75,73,73,76,66,67,63,79,69,72,68,74,63,76,77,70,80,71,72,29,79,68,79,72,42,29,34,,LS,A_LS,France,2.2804878048780486,25,False,True,False,True,False,False,True,False,False,False,False,False,False
260323,M. Murakami,63,64,375000.0,900,185,85,Avispa Fukuoka,1,31,2022,Japan,2,1,1,497000.0,,,,,,,14,8,10,33,9,6,14,10,30,17,29,20,23,52,58,47,64,28,60,7,35,7,4,53,16,41,9,10,12,25.0,GK,G_GK,Japan,2.176470588235294,29,False,True,True,False,False,False,False,False,False,False,False,False,True
158626,M. Debuchy,75,75,1700000.0,5000,176,76,Valenciennes FC,2,26,2023,France,3,3,3,3000000.0,65.0,67.0,71.0,74.0,74.0,72.0,74,63,73,75,62,74,74,61,69,75,66,64,70,73,72,74,79,68,71,68,76,74,71,64,66,75,75,74,73,,RB,D_RB,France,2.3157894736842106,36,False,True,True,False,False,False,True,False,False,False,False,False,False
244271,I. Šunjić,70,73,2000000.0,10000,184,75,Birmingham City,2,34,2024,Croatia,3,2,1,4000000.0,69.0,58.0,57.0,64.0,70.0,77.0,51,55,66,65,43,61,31,38,63,66,73,65,72,69,57,67,57,87,69,66,87,68,56,54,43,62,68,73,74,,LCM,M_LCM,England,2.453333333333333,24,False,True,True,False,False,False,False,False,False,False,True,False,False
247938,D. Popadiuc,64,65,700000.0,2000,181,74,AFC Chindia Târgoviște,1,59,2022,Romania,2,3,1,998000.0,74.0,56.0,60.0,63.0,36.0,59.0,60,54,38,63,56,62,48,47,54,63,73,74,70,60,66,51,45,73,61,62,41,42,58,64,61,57,31,38,35,,LM,M_LM,Romania,2.445945945945946,26,True,False,True,False,False,True,False,False,False,False,False,False,False
240743,L. Sequeira,69,70,1600000.0,7000,172,69,Club Atlético Central Córdoba,1,7,2022,Argentina,3,3,1,2400000.0,75.0,67.0,63.0,74.0,32.0,53.0,69,69,57,62,65,78,65,50,60,71,77,74,79,53,77,67,45,65,58,68,28,24,68,63,55,65,35,28,29,,RM,M_RM,Argentina,2.4927536231884058,26,False,True,True,False,False,False,True,False,False,False,False,False,False
262480,R. Ilie,60,71,525000.0,550,183,73,Rapid București,1,10,2022,Romania,3,3,1,814000.0,76.0,56.0,56.0,61.0,49.0,56.0,47,55,57,62,54,60,61,56,55,62,70,80,71,46,72,58,58,56,57,57,55,42,58,56,60,57,43,55,53,,CAM,M_CAM,Romania,2.506849315068493,18,False,True,True,False,False,False,True,False,False,False,False,False,False
202810,S. McDermott,70,73,1500000.0,2000,185,83,Kristiansund BK,1,1,2021,Republic of Ireland,2,1,1,2000000.0,,,,,,,15,10,14,28,8,14,13,18,40,15,43,45,54,67,42,44,67,18,62,9,37,17,11,47,17,49,11,14,14,44.0,GK,G_GK,Norway,2.2289156626506026,28,False,True,True,False,False,False,False,False,False,False,False,False,True
213556,Somália,70,70,1300000.0,650,180,73,Ferencvárosi TC,1,7,2022,Brazil,4,3,1,2900000.0,64.0,68.0,68.0,73.0,63.0,68.0,68,69,45,74,59,73,58,49,68,77,65,63,70,74,67,64,57,60,71,75,71,72,58,64,62,68,63,63,58,,LDM,M_LDM,Hungary,2.4657534246575343,32,False,True,True,False,False,False,False,False,False,False,True,False,False
256953,X. Dziekoński,63,80,1100000.0,500,188,78,Jagiellonia Białystok,1,55,2023,Poland,2,1,1,2200000.0,,,,,,,13,7,11,48,6,8,14,14,50,11,32,33,25,47,39,47,54,28,63,6,28,11,5,33,14,36,9,10,12,32.0,GK,G_GK,Poland,2.41025641025641,17,False,True,True,False,False,False,False,False,False,False,False,False,True
262859,L. Colwill,65,82,1700000.0,750,191,79,Huddersfield Town,2,26,2025,England,3,2,1,4200000.0,67.0,34.0,56.0,60.0,64.0,67.0,51,26,60,61,33,58,49,34,61,63,70,64,50,63,70,45,74,56,73,38,65,63,43,57,39,61,64,65,64,,LCB,D_LCB,England,2.4177215189873418,18,True,False,True,False,False,False,True,False,False,False,False,False,False
245100,M. Awoudja,64,73,1200000.0,5000,188,81,WSG Tirol,1,15,2022,Germany,3,2,1,,64.0,34.0,48.0,42.0,61.0,72.0,29,31,71,62,38,34,28,32,55,43,59,68,55,55,54,46,82,61,81,27,63,57,30,44,42,49,55,65,66,,LCB,D_LCB,Austria,2.3209876543209877,23,False,True,True,False,False,False,True,False,False,False,False,False,False
233732,D. Okereke,70,76,2500000.0,13000,181,77,Venezia FC,1,77,2022,Nigeria,4,3,1,,85.0,67.0,54.0,73.0,26.0,66.0,43,73,68,68,56,74,40,31,33,70,84,85,82,69,68,68,91,69,69,56,48,17,67,64,62,68,31,17,15,,RW,A_RW,Italy,2.3506493506493507,24,False,True,True,False,False,False,True,False,False,False,False,False,False
225341,David García,78,81,16000000.0,28000,185,72,CA Osasuna,1,5,2026,Spain,3,2,1,34800000.0,53.0,37.0,64.0,64.0,78.0,75.0,61,35,82,78,37,60,33,38,72,76,53,53,39,75,58,47,78,72,76,25,77,78,51,52,44,67,76,79,81,,LCB,D_LCB,Spain,2.5694444444444446,27,False,True,True,False,False,False,False,False,False,False,False,False,True
246157,E. Pletinckx,66,77,1800000.0,3000,190,87,SV Zulte Waregem,1,24,2023,Belgium,3,2,1,3100000.0,48.0,29.0,43.0,46.0,66.0,75.0,31,25,68,58,28,37,29,26,53,57,47,49,36,63,44,41,49,68,84,26,70,63,30,30,34,57,63,70,66,,CB,D_CB,Belgium,2.1839080459770117,20,False,True,True,False,False,False,False,False,False,False,False,False,True
223791,R. Niyaz,70,73,2100000.0,9000,165,60,Gazişehir Gaziantep F.K.,1,20,2023,Turkey,4,3,1,4400000.0,75.0,58.0,70.0,72.0,61.0,55.0,69,59,45,72,66,71,64,62,68,70,77,73,85,64,89,53,41,70,50,55,53,56,73,71,60,66,64,67,64,,CAM,M_CAM,Turkey,2.75,26,True,False,True,False,False,False,False,False,False,False,False,True,False
230402,Muo Cadete,77,77,12500000.0,28000,178,78,Palmeiras,1,14,2024,Brazil,3,2,1,23800000.0,81.0,63.0,72.0,75.0,37.0,69.0,74,68,29,74,49,77,56,55,70,75,81,81,77,77,66,63,41,82,74,56,45,38,80,75,34,59,35,40,35,,LM,M_LM,Brazil,2.282051282051282,21,True,False,True,False,False,False,False,False,False,False,False,False,True
